Molecule,Natty (CCSD_T_DZ),Ref - Nat (CCSD_T_DZ),Ref (CCSD_T_TZ),Red (CCSD_T_DZ),Ref - Red (CCSD_T_DZ),Nat - Red CCSD_T_DZ,"Natty (B3LYP_6-31G_2df,p_)","Ref - Nat (B3LYP_6-31G_2df,p_)","Red (B3LYP_6-31G_2df,p_)","Ref - Red (B3LYP_6-31G_2df,p_)","Nat - Red B3LYP_6-31G_2df,p_"
CH4 (1.2) mode 2,1344.11,-0.12,1343.99,1344.11,-0.12,-0.00,1343.99,-0.00,1343.99,-0.00,-0.00
CH4 (1.2) mode 3,1344.11,-0.12,1343.99,1344.11,-0.12,-0.00,1343.99,-0.00,1343.99,-0.00,-0.00
CH4 (1.2) mode 4,1570.80,-0.00,1570.80,1570.80,-0.00,0.00,1570.80,0.00,1570.80,-0.00,0.00
CH4 (1.2) mode 5,1570.80,0.00,1570.80,1570.80,0.00,-0.00,1570.80,-0.00,1570.80,0.00,-0.00
CH4 (1.2) mode 6,3034.66,-0.00,3034.66,3034.65,0.01,0.01,3034.66,-0.00,3034.64,0.02,0.02
CH4 (1.2) mode 7,3153.73,0.05,3153.78,3153.73,0.05,0.00,3153.78,0.00,3153.78,0.00,-0.00
CH4 (1.2) mode 8,3153.74,0.05,3153.78,3153.74,0.05,0.00,3153.78,0.00,3153.78,0.00,-0.00
CH4 (1.2) mode 9,3153.74,0.05,3153.79,3153.75,0.04,-0.01,3153.78,0.00,3153.80,-0.02,-0.02
NH3 (1.3) mode 1,1109.52,-0.30,1109.21,1109.52,-0.30,-0.00,1109.22,-0.01,1109.22,-0.01,-0.00
NH3 (1.3) mode 2,1687.99,-0.06,1687.93,1687.99,-0.07,-0.01,1687.94,-0.01,1687.94,-0.01,-0.00
NH3 (1.3) mode 3,1687.99,-0.06,1687.93,1688.00,-0.07,-0.01,1687.94,-0.01,1687.94,-0.01,-0.00
NH3 (1.3) mode 4,3471.81,0.10,3471.91,3471.81,0.10,0.00,3471.91,0.00,3471.91,0.00,0.00
NH3 (1.3) mode 5,3597.51,0.03,3597.54,3597.50,0.03,0.00,3597.53,0.01,3597.53,0.01,-0.00
NH3 (1.3) mode 6,3597.51,0.03,3597.54,3597.51,0.03,0.00,3597.53,0.01,3597.53,0.01,-0.00
SiH4 (1.6) mode 1,933.79,-0.00,933.79,933.76,0.03,0.03,933.80,-0.01,933.79,-0.01,0.00
SiH4 (1.6) mode 2,933.79,-0.00,933.79,933.80,-0.01,-0.00,933.80,-0.01,933.80,-0.01,-0.01
SiH4 (1.6) mode 3,933.80,0.01,933.81,933.83,-0.02,-0.03,933.80,0.01,933.81,-0.00,-0.01
SiH4 (1.6) mode 4,985.48,-0.00,985.48,985.48,-0.00,0.00,985.48,0.00,985.47,0.00,0.00
SiH4 (1.6) mode 5,985.48,0.00,985.49,985.49,0.00,-0.00,985.49,0.00,985.48,0.01,0.01
SiH4 (1.6) mode 6,2250.62,-0.00,2250.62,2250.55,0.07,0.07,2250.66,-0.05,2250.54,0.08,0.12
SiH4 (1.6) mode 7,2255.35,-0.00,2255.35,2255.35,0.00,0.00,2255.31,0.04,2255.32,0.04,-0.00
SiH4 (1.6) mode 8,2255.36,0.00,2255.36,2255.36,-0.01,-0.01,2255.35,0.00,2255.40,-0.04,-0.04
SiH4 (1.6) mode 9,2255.36,0.00,2255.36,2255.43,-0.07,-0.07,2255.36,0.00,2255.44,-0.08,-0.08
Benzene (1.7) mode 1,401.36,-0.02,401.34,401.36,-0.02,-0.00,401.38,-0.04,401.56,-0.22,-0.18
Benzene (1.7) mode 2,401.36,-0.02,401.34,401.36,-0.02,-0.00,401.45,-0.11,401.92,-0.58,-0.47
Benzene (1.7) mode 3,607.22,-0.08,607.13,607.22,-0.08,-0.00,607.19,-0.05,607.15,-0.02,0.04
Benzene (1.7) mode 4,607.22,-0.08,607.13,607.22,-0.08,-0.00,607.27,-0.13,607.20,-0.06,0.07
Benzene (1.7) mode 5,675.54,-0.87,674.67,675.54,-0.87,-0.00,678.10,-3.42,678.45,-3.78,-0.35
Benzene (1.7) mode 6,685.29,-0.00,685.29,685.29,0.00,-0.00,685.30,-0.01,685.26,0.04,0.04
Benzene (1.7) mode 7,856.44,-0.00,856.44,856.44,0.00,0.00,856.45,-0.01,856.53,-0.09,-0.08
Benzene (1.7) mode 8,856.44,0.00,856.44,856.46,-0.02,-0.02,856.47,-0.03,856.74,-0.29,-0.26
Benzene (1.7) mode 9,959.05,0.03,959.08,959.04,0.04,0.01,959.04,0.04,958.87,0.21,0.17
Benzene (1.7) mode 10,959.07,0.01,959.08,959.07,0.01,-0.00,959.08,-0.00,958.98,0.09,0.10
Benzene (1.7) mode 11,966.07,0.59,966.66,966.07,0.59,0.00,964.25,2.41,963.68,2.99,0.57
Benzene (1.7) mode 12,1004.55,-0.01,1004.54,1004.55,-0.01,-0.00,1004.55,-0.01,1004.55,-0.01,-0.00
Benzene (1.7) mode 13,1010.34,-0.01,1010.33,1010.34,-0.01,-0.00,1010.33,-0.00,1010.35,-0.02,-0.01
Benzene (1.7) mode 14,1055.03,-0.67,1054.36,1055.03,-0.67,-0.00,1054.46,-0.10,1054.40,-0.04,0.06
Benzene (1.7) mode 15,1055.03,-0.67,1054.36,1055.03,-0.67,-0.00,1054.50,-0.13,1054.44,-0.08,0.05
Benzene (1.7) mode 16,1160.80,-1.92,1158.88,1160.81,-1.93,-0.01,1163.40,-4.52,1159.63,-0.75,3.77
Benzene (1.7) mode 17,1191.10,-0.53,1190.57,1191.11,-0.53,-0.00,1186.97,3.60,1190.56,0.01,-3.59
Benzene (1.7) mode 18,1191.11,-0.53,1190.57,1191.11,-0.53,0.00,1190.63,-0.06,1190.59,-0.02,0.04
Benzene (1.7) mode 19,1326.49,1.68,1328.17,1326.49,1.68,0.00,1327.59,0.59,1327.54,0.63,0.05
Benzene (1.7) mode 20,1370.18,-0.00,1370.18,1370.18,0.00,0.00,1370.22,-0.04,1370.17,0.01,0.05
Benzene (1.7) mode 21,1506.48,0.46,1506.94,1506.48,0.46,0.00,1506.85,0.09,1506.90,0.04,-0.05
Benzene (1.7) mode 22,1506.48,0.46,1506.94,1506.48,0.46,0.00,1506.86,0.08,1506.97,-0.03,-0.12
Benzene (1.7) mode 23,1636.82,0.41,1637.23,1636.82,0.41,0.00,1637.19,0.04,1637.26,-0.03,-0.08
Benzene (1.7) mode 24,1636.82,0.41,1637.23,1636.82,0.41,0.00,1637.25,-0.02,1637.28,-0.05,-0.03
Benzene (1.7) mode 25,3169.35,0.04,3169.39,3169.39,0.00,-0.04,3169.41,-0.01,3169.36,0.03,0.04
Benzene (1.7) mode 26,3180.68,0.06,3180.74,3180.55,0.19,0.13,3180.63,0.11,3180.67,0.07,-0.04
Benzene (1.7) mode 27,3180.75,-0.01,3180.74,3180.72,0.01,0.02,3180.74,-0.01,3180.77,-0.04,-0.03
Benzene (1.7) mode 28,3198.33,0.01,3198.33,3198.33,0.00,-0.00,3198.31,0.02,3198.26,0.08,0.05
Benzene (1.7) mode 29,3198.37,-0.03,3198.33,3198.41,-0.07,-0.04,3198.33,0.01,3198.31,0.02,0.02
Benzene (1.7) mode 30,3209.18,-0.03,3209.15,3209.26,-0.12,-0.08,3209.15,-0.01,3209.21,-0.06,-0.06
CH2CCH2 (1.8) mode 1,575.70,-0.02,575.68,575.69,-0.01,0.01,575.79,-0.11,575.93,-0.25,-0.14
CH2CCH2 (1.8) mode 2,792.70,-1.01,791.69,792.70,-1.02,-0.01,791.74,-0.05,791.70,-0.01,0.04
CH2CCH2 (1.8) mode 3,824.74,-0.00,824.74,824.92,-0.18,-0.17,824.74,0.00,824.79,-0.05,-0.05
CH2CCH2 (1.8) mode 4,927.98,-0.52,927.46,928.18,-0.73,-0.21,927.54,-0.08,927.58,-0.12,-0.04
CH2CCH2 (1.8) mode 5,1020.58,0.00,1020.59,1020.44,0.14,0.14,1020.58,0.00,1020.54,0.04,0.04
CH2CCH2 (1.8) mode 6,1042.77,-0.68,1042.08,1041.76,0.33,1.01,1042.63,-0.54,1042.71,-0.62,-0.08
CH2CCH2 (1.8) mode 7,1072.83,1.40,1074.23,1073.80,0.43,-0.97,1073.70,0.54,1073.65,0.59,0.05
CH2CCH2 (1.8) mode 8,1108.96,-0.00,1108.96,1108.99,-0.03,-0.03,1108.90,0.06,1108.84,0.13,0.07
CH2CCH2 (1.8) mode 9,1158.19,-0.03,1158.16,1158.53,-0.37,-0.34,1158.35,-0.19,1158.45,-0.29,-0.11
CH2CCH2 (1.8) mode 10,1525.33,-0.56,1524.77,1524.78,-0.01,0.55,1524.73,0.04,1524.69,0.08,0.04
CH2CCH2 (1.8) mode 11,1682.21,0.75,1682.96,1682.37,0.59,-0.16,1682.89,0.07,1682.84,0.12,0.05
CH2CCH2 (1.8) mode 12,3071.83,0.03,3071.86,3071.80,0.06,0.03,3071.82,0.03,3071.82,0.04,0.01
CH2CCH2 (1.8) mode 13,3143.02,0.00,3143.03,3143.04,-0.01,-0.02,3143.02,0.00,3143.03,-0.00,-0.00
CH2CCH2 (1.8) mode 14,3264.57,0.00,3264.57,3264.55,0.02,0.02,3264.56,0.01,3264.56,0.01,0.00
CH2CCH2 (1.8) mode 15,3310.74,0.00,3310.75,3310.77,-0.02,-0.02,3310.74,0.00,3310.75,-0.00,-0.00
CH2CCH2 (1.9) mode 1,347.92,-0.01,347.91,347.92,-0.01,0.00,348.37,-0.46,348.39,-0.48,-0.02
CH2CCH2 (1.9) mode 2,348.00,-0.01,347.99,348.00,-0.01,0.00,348.45,-0.47,348.43,-0.44,0.02
CH2CCH2 (1.9) mode 3,856.74,-0.01,856.73,856.74,-0.01,0.00,856.85,-0.12,856.85,-0.12,0.00
CH2CCH2 (1.9) mode 4,856.74,-0.01,856.73,856.74,-0.01,0.00,856.86,-0.13,856.86,-0.13,-0.00
CH2CCH2 (1.9) mode 5,870.31,-0.00,870.31,870.31,0.00,-0.00,870.32,-0.01,870.31,-0.00,0.01
CH2CCH2 (1.9) mode 6,1017.73,-0.04,1017.68,1017.72,-0.04,0.00,1017.43,0.26,1017.43,0.25,-0.01
CH2CCH2 (1.9) mode 7,1017.80,-0.04,1017.76,1017.80,-0.04,-0.00,1017.51,0.25,1017.50,0.26,0.00
CH2CCH2 (1.9) mode 8,1081.75,-1.00,1080.75,1081.76,-1.01,-0.01,1080.85,-0.09,1080.85,-0.10,-0.00
CH2CCH2 (1.9) mode 9,1438.38,-0.00,1438.38,1438.38,-0.00,0.00,1438.51,-0.13,1438.51,-0.13,-0.00
CH2CCH2 (1.9) mode 10,1487.82,0.70,1488.52,1487.81,0.71,0.01,1488.46,0.06,1488.46,0.07,0.00
CH2CCH2 (1.9) mode 11,2012.20,-0.05,2012.15,2012.20,-0.05,0.00,2012.19,-0.05,2012.19,-0.05,0.00
CH2CCH2 (1.9) mode 12,3142.71,0.04,3142.75,3142.72,0.03,-0.01,3142.62,0.13,3142.65,0.10,-0.03
CH2CCH2 (1.9) mode 13,3144.19,0.08,3144.28,3144.27,0.01,-0.07,3144.28,0.00,3144.28,-0.00,-0.01
CH2CCH2 (1.9) mode 14,3226.41,-0.01,3226.40,3226.38,0.02,0.03,3226.43,-0.03,3226.40,0.00,0.03
CH2CCH2 (1.9) mode 15,3226.47,-0.04,3226.43,3226.41,0.02,0.06,3226.44,-0.01,3226.42,0.01,0.01
Spiropentane (1.10) mode 1,293.07,-0.01,293.06,293.07,-0.00,0.01,293.08,-0.02,293.21,-0.15,-0.13
Spiropentane (1.10) mode 2,297.16,-0.01,297.15,297.16,-0.01,0.00,297.17,-0.02,297.54,-0.39,-0.37
Spiropentane (1.10) mode 3,297.16,-0.01,297.15,297.17,-0.02,-0.01,297.18,-0.02,297.77,-0.62,-0.59
Spiropentane (1.10) mode 4,598.62,-0.19,598.43,598.61,-0.18,0.01,598.48,-0.05,598.48,-0.04,0.01
Spiropentane (1.10) mode 5,786.36,-0.09,786.27,786.36,-0.09,0.00,786.34,-0.07,786.78,-0.51,-0.43
Spiropentane (1.10) mode 6,786.36,-0.10,786.27,786.36,-0.09,0.00,786.35,-0.08,788.12,-1.86,-1.77
Spiropentane (1.10) mode 7,840.17,-0.05,840.13,840.17,-0.04,0.01,840.15,-0.03,840.30,-0.18,-0.15
Spiropentane (1.10) mode 8,898.63,-1.21,897.42,898.82,-1.40,-0.19,897.59,-0.16,897.46,-0.04,0.12
Spiropentane (1.10) mode 9,898.68,-1.26,897.42,898.82,-1.40,-0.14,897.65,-0.22,897.72,-0.30,-0.07
Spiropentane (1.10) mode 10,902.19,-1.36,900.83,902.04,-1.21,0.14,900.99,-0.17,901.11,-0.28,-0.12
Spiropentane (1.10) mode 11,1018.30,0.95,1019.25,1018.41,0.84,-0.11,1019.38,-0.13,1020.13,-0.88,-0.76
Spiropentane (1.10) mode 12,1027.38,-0.06,1027.32,1027.35,-0.03,0.03,1027.23,0.10,1026.88,0.44,0.35
Spiropentane (1.10) mode 13,1056.75,-2.34,1054.41,1057.56,-3.15,-0.81,1054.78,-0.37,1054.68,-0.27,0.10
Spiropentane (1.10) mode 14,1074.12,1.90,1076.02,1073.41,2.62,0.71,1075.73,0.30,1075.62,0.40,0.10
Spiropentane (1.10) mode 15,1077.55,-0.22,1077.33,1077.53,-0.20,0.02,1077.37,-0.03,1076.80,0.54,0.57
Spiropentane (1.10) mode 16,1077.69,-0.35,1077.33,1077.54,-0.20,0.15,1077.39,-0.05,1077.42,-0.09,-0.03
Spiropentane (1.10) mode 17,1173.45,0.01,1173.46,1173.46,-0.00,-0.01,1173.48,-0.02,1173.34,0.12,0.14
Spiropentane (1.10) mode 18,1183.49,0.01,1183.50,1183.50,0.00,-0.01,1185.46,-1.96,1183.65,-0.14,1.81
Spiropentane (1.10) mode 19,1188.84,1.04,1189.88,1188.81,1.07,0.03,1187.89,1.99,1189.33,0.55,-1.44
Spiropentane (1.10) mode 20,1188.84,1.04,1189.88,1188.81,1.07,0.03,1189.74,0.14,1189.52,0.36,0.22
Spiropentane (1.10) mode 21,1440.45,-1.19,1439.26,1440.30,-1.04,0.15,1439.24,0.01,1439.29,-0.03,-0.04
Spiropentane (1.10) mode 22,1468.73,0.09,1468.81,1468.70,0.11,0.03,1468.72,0.10,1468.52,0.30,0.20
Spiropentane (1.10) mode 23,1468.73,0.09,1468.81,1468.71,0.11,0.02,1468.72,0.10,1468.62,0.20,0.10
Spiropentane (1.10) mode 24,1501.05,0.38,1501.43,1501.04,0.39,0.01,1501.40,0.02,1501.41,0.01,-0.01
Spiropentane (1.10) mode 25,1595.02,1.18,1596.21,1595.17,1.04,-0.14,1596.25,-0.05,1596.11,0.10,0.14
Spiropentane (1.10) mode 26,3130.02,0.03,3130.04,3129.88,0.16,0.13,3129.86,0.18,3129.99,0.05,-0.13
Spiropentane (1.10) mode 27,3130.02,0.02,3130.04,3130.02,0.02,0.00,3130.07,-0.03,3130.57,-0.53,-0.50
Spiropentane (1.10) mode 28,3134.84,0.01,3134.85,3134.91,-0.05,-0.07,3134.84,0.02,3134.85,-0.00,-0.02
Spiropentane (1.10) mode 29,3135.91,0.02,3135.93,3136.00,-0.07,-0.09,3136.00,-0.07,3135.25,0.68,0.74
Spiropentane (1.10) mode 30,3212.31,0.01,3212.32,3212.31,0.01,-0.00,3212.32,-0.00,3212.28,0.03,0.04
Spiropentane (1.10) mode 31,3213.22,0.00,3213.22,3213.15,0.08,0.07,3213.22,0.01,3213.06,0.16,0.16
Spiropentane (1.10) mode 32,3225.31,0.01,3225.32,3225.31,0.01,-0.00,3225.29,0.03,3225.32,0.00,-0.03
Spiropentane (1.10) mode 33,3225.32,0.01,3225.32,3225.38,-0.06,-0.06,3225.34,-0.01,3225.50,-0.18,-0.16
AlCl3 (1.11) mode 1,147.27,-0.00,147.27,147.28,-0.01,-0.01,147.37,-0.10,147.28,-0.01,0.09
AlCl3 (1.11) mode 2,147.29,-0.00,147.29,147.28,0.01,0.01,148.11,-0.82,147.54,-0.25,0.57
AlCl3 (1.11) mode 3,207.49,0.00,207.49,207.49,-0.00,0.00,207.49,-0.00,207.49,-0.00,0.00
AlCl3 (1.11) mode 4,388.75,-0.00,388.75,388.75,-0.00,-0.00,388.99,-0.24,388.75,-0.00,0.24
AlCl3 (1.11) mode 5,628.43,0.00,628.44,628.44,-0.00,-0.00,628.18,0.25,628.38,0.06,-0.19
AlCl3 (1.11) mode 6,628.44,0.00,628.44,628.44,0.00,0.00,628.33,0.11,628.44,0.00,-0.11
AlF3 (1.12) mode 1,244.91,-0.07,244.84,244.97,-0.13,-0.06,244.98,-0.14,244.89,-0.05,0.09
AlF3 (1.12) mode 2,245.04,-0.05,244.99,244.97,0.02,0.06,245.35,-0.36,245.01,-0.02,0.34
AlF3 (1.12) mode 3,301.32,-0.00,301.32,301.32,-0.00,-0.00,301.32,-0.00,301.32,-0.00,-0.00
AlF3 (1.12) mode 4,695.29,-0.00,695.29,695.29,0.00,0.00,695.50,-0.21,695.29,0.00,0.21
AlF3 (1.12) mode 5,962.26,0.01,962.28,962.27,0.01,-0.01,962.09,0.19,962.26,0.01,-0.18
AlF3 (1.12) mode 6,962.27,0.01,962.29,962.27,0.02,0.01,962.20,0.09,962.28,0.00,-0.09
BCl3 (1.13) mode 1,257.17,-0.00,257.16,257.19,-0.03,-0.02,257.21,-0.04,257.17,-0.01,0.04
BCl3 (1.13) mode 2,257.22,0.00,257.22,257.20,0.03,0.02,257.44,-0.22,257.23,-0.00,0.22
BCl3 (1.13) mode 3,462.52,-0.00,462.52,462.52,0.00,-0.00,462.52,0.00,462.52,0.00,-0.00
BCl3 (1.13) mode 4,476.79,-0.00,476.79,476.79,0.00,0.00,476.88,-0.09,476.79,0.00,0.09
BCl3 (1.13) mode 5,972.61,0.00,972.61,972.61,-0.00,-0.00,972.55,0.06,972.61,0.00,-0.05
BCl3 (1.13) mode 6,972.62,0.00,972.62,972.61,0.00,0.00,972.56,0.06,972.62,0.00,-0.06
BF3 (1.14) mode 1,483.71,-0.00,483.70,483.71,-0.00,0.00,483.88,-0.17,483.88,-0.18,-0.00
BF3 (1.14) mode 2,483.71,-0.00,483.70,483.71,-0.00,-0.00,483.89,-0.18,483.89,-0.18,0.00
BF3 (1.14) mode 3,700.10,-0.00,700.10,700.10,0.00,-0.00,700.10,0.00,700.10,0.00,0.00
BF3 (1.14) mode 4,899.30,-0.00,899.30,899.30,-0.00,0.00,899.30,-0.00,899.30,-0.00,0.00
BF3 (1.14) mode 5,1493.14,0.00,1493.14,1493.14,0.00,0.00,1493.08,0.06,1493.08,0.06,-0.00
BF3 (1.14) mode 6,1493.14,0.00,1493.14,1493.14,0.00,-0.00,1493.08,0.06,1493.08,0.06,0.00
CCl4 (1.15) mode 1,218.42,-0.01,218.41,218.42,-0.01,-0.00,218.44,-0.03,218.47,-0.06,-0.04
CCl4 (1.15) mode 2,218.43,0.01,218.44,218.42,0.01,0.00,218.50,-0.07,218.49,-0.05,0.02
CCl4 (1.15) mode 3,316.72,-0.04,316.69,316.70,-0.01,0.02,316.81,-0.12,316.92,-0.23,-0.11
CCl4 (1.15) mode 4,316.74,-0.04,316.70,316.73,-0.02,0.01,316.90,-0.20,317.17,-0.46,-0.27
CCl4 (1.15) mode 5,316.76,0.04,316.79,316.79,-0.00,-0.04,316.95,-0.16,317.31,-0.52,-0.36
CCl4 (1.15) mode 6,463.23,0.00,463.23,463.23,0.00,0.00,463.26,-0.03,463.23,-0.00,0.03
CCl4 (1.15) mode 7,802.54,0.00,802.54,802.55,-0.00,-0.00,802.42,0.13,802.25,0.29,0.17
CCl4 (1.15) mode 8,802.55,0.01,802.56,802.55,0.01,0.00,802.50,0.06,802.46,0.10,0.04
CCl4 (1.15) mode 9,802.55,0.01,802.56,802.55,0.01,-0.00,802.51,0.05,802.47,0.09,0.05
CF4 (1.16) mode 1,440.04,0.00,440.04,440.04,-0.00,0.00,440.04,-0.00,440.04,-0.00,-0.00
CF4 (1.16) mode 2,440.04,-0.00,440.04,440.04,0.00,-0.00,440.04,-0.00,440.06,-0.02,-0.02
CF4 (1.16) mode 3,639.05,-0.05,638.99,639.05,-0.05,-0.00,639.00,-0.00,638.74,0.25,0.26
CF4 (1.16) mode 4,639.05,-0.05,638.99,639.05,-0.05,0.00,639.00,-0.00,638.99,-0.00,0.00
CF4 (1.16) mode 5,639.05,-0.05,638.99,639.05,-0.05,-0.00,639.00,-0.01,639.24,-0.25,-0.24
CF4 (1.16) mode 6,923.21,-0.00,923.21,923.21,-0.00,0.00,923.21,0.00,923.21,0.00,-0.00
CF4 (1.16) mode 7,1322.98,0.03,1323.00,1322.98,0.03,0.00,1323.00,0.00,1323.00,0.00,-0.00
CF4 (1.16) mode 8,1322.98,0.03,1323.00,1322.98,0.03,0.00,1323.00,0.00,1323.00,0.00,-0.00
CF4 (1.16) mode 9,1322.98,0.03,1323.00,1322.98,0.03,0.00,1323.00,0.00,1323.01,-0.00,-0.00
CH2Cl2 (1.17) mode 1,284.61,-0.01,284.60,284.61,-0.01,0.00,284.63,-0.03,284.62,-0.02,0.01
CH2Cl2 (1.17) mode 2,723.62,-0.05,723.57,723.62,-0.05,-0.00,723.58,-0.01,723.58,-0.02,-0.01
CH2Cl2 (1.17) mode 3,776.87,-0.04,776.83,776.85,-0.02,0.02,776.95,-0.12,777.00,-0.17,-0.05
CH2Cl2 (1.17) mode 4,906.99,-0.02,906.97,906.99,-0.02,-0.00,907.01,-0.04,907.01,-0.05,-0.00
CH2Cl2 (1.17) mode 5,1180.95,0.00,1180.95,1180.95,0.00,0.00,1180.95,0.00,1180.95,0.00,0.00
CH2Cl2 (1.17) mode 6,1293.04,0.03,1293.06,1293.05,0.01,-0.02,1292.99,0.07,1292.96,0.10,0.03
CH2Cl2 (1.17) mode 7,1474.50,-0.02,1474.48,1474.50,-0.02,-0.00,1474.50,-0.02,1474.50,-0.02,0.00
CH2Cl2 (1.17) mode 8,3127.52,0.02,3127.54,3127.52,0.02,0.00,3127.53,0.01,3127.53,0.02,0.00
CH2Cl2 (1.17) mode 9,3202.53,0.01,3202.53,3202.53,0.01,0.00,3202.52,0.01,3202.52,0.01,0.00
CH2F2 (1.18) mode 1,537.01,-0.02,536.99,537.01,-0.03,-0.00,537.02,-0.03,537.03,-0.04,-0.00
CH2F2 (1.18) mode 2,1141.64,-0.05,1141.59,1141.71,-0.11,-0.06,1141.72,-0.13,1141.71,-0.12,0.01
CH2F2 (1.18) mode 3,1142.96,-0.79,1142.17,1142.83,-0.67,0.12,1142.17,-0.00,1142.19,-0.02,-0.02
CH2F2 (1.18) mode 4,1202.57,-0.00,1202.57,1202.57,-0.00,-0.00,1202.57,-0.00,1202.57,-0.00,0.00
CH2F2 (1.18) mode 5,1292.33,0.00,1292.33,1292.33,-0.00,0.00,1292.33,0.00,1292.33,-0.00,0.00
CH2F2 (1.18) mode 6,1481.75,0.56,1482.31,1481.79,0.51,-0.05,1482.30,0.00,1482.30,0.01,0.01
CH2F2 (1.18) mode 7,1556.42,0.04,1556.46,1556.42,0.05,0.00,1556.46,-0.00,1556.47,-0.01,-0.01
CH2F2 (1.18) mode 8,3075.73,0.02,3075.76,3075.73,0.02,0.00,3075.70,0.05,3075.70,0.05,0.00
CH2F2 (1.18) mode 9,3148.00,0.00,3148.01,3148.00,0.00,0.00,3148.00,0.00,3148.01,0.00,-0.00
CH2O2 (1.19) mode 1,629.44,-0.04,629.41,629.44,-0.04,-0.00,629.44,-0.04,629.44,-0.04,-0.00
CH2O2 (1.19) mode 2,675.74,-0.10,675.64,675.74,-0.10,-0.00,675.64,-0.00,675.64,-0.00,-0.00
CH2O2 (1.19) mode 3,1061.14,0.07,1061.21,1061.14,0.07,0.00,1061.20,0.00,1061.20,0.00,0.00
CH2O2 (1.19) mode 4,1137.51,-0.39,1137.12,1137.51,-0.39,0.00,1137.27,-0.15,1137.27,-0.15,0.00
CH2O2 (1.19) mode 5,1326.73,-0.54,1326.19,1326.73,-0.54,-0.00,1326.25,-0.06,1326.26,-0.06,-0.00
CH2O2 (1.19) mode 6,1415.51,0.29,1415.80,1415.51,0.29,-0.00,1415.88,-0.08,1415.88,-0.08,-0.00
CH2O2 (1.19) mode 7,1824.18,0.37,1824.55,1824.19,0.36,-0.00,1824.42,0.13,1824.42,0.13,0.00
